PlayerID,SportsDataID,Status,TeamID,Team,Jersey,PositionCategory,Position,MLBAMID,FirstName,LastName,BatHand,ThrowHand,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,ProDebut,Salary,PhotoUrl,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,UpcomingGameID,FanDuelName,DraftKingsName,YahooName,FantasyDraftName
10000001,,Active,32,MIL,57,P,SP,502624,Chase,Anderson,R,R,73,196,11/30/1987 12:00:00 AM,Wichita Falls,TX,USA,,Oklahoma,,,http://static.fantasydata.com/headshots/mlb/low-res/10000001.png,4bdcd59e-2cd5-4d1e-8058-588a72a1f8ae,7333,12419,100318,501567,106019,4645,,,,,38161,501567,9698,47609,Chase Anderson,Chase Anderson,Chase Anderson,Chase Anderson
10000004,,Active,33,SD,38,P,SP,502239,Trevor,Cahill,R,R,76,240,3/1/1988 12:00:00 AM,Oceanside,CA,USA,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000004.png,d41234eb-9f4c-4393-ab86-44ca0b5bc1f5,4763,9355,100921,326540,43763,5982,,,,,5599,326540,8410,47608,Trevor Cahill,Trevor Cahill,Trevor Cahill,Trevor Cahill
10000005,,Active,14,ARI,40,P,RP,605177,Andrew,Chafin,R,L,74,225,6/17/1990 12:00:00 AM,Kettering,OH,USA,,Kent State,,,http://static.fantasydata.com/headshots/mlb/low-res/10000005.png,c7cc1802-2a2a-4cce-b028-fc69a82d08ae,,12155,100856,597763,113231,9089,,,,,38303,597763,9782,47603,Andrew Chafin,Andrew Chafin,Andrew Chafin,Andrew Chafin
10000006,,Active,26,ATL,55,P,RP,518567,Josh,Collmenter,R,R,76,245,2/7/1986 12:00:00 AM,Marshall,MI,USA,,Central Michigan,,,http://static.fantasydata.com/headshots/mlb/low-res/10000006.png,e1441c11-c416-4492-8dd5-0c8858e3631b,6079,10781,100982,392064,105465,8214,,,,,13173,392064,8904,47602,Josh Collmenter,Josh Collmenter,Josh Collmenter,Josh Collmenter
10000007,,Active,14,ARI,46,P,SP,571578,Patrick,Corbin,L,L,74,210,7/19/1989 12:00:00 AM,Clay,NY,USA,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000007.png,0764772b-e8ab-42b3-9ee4-2b61af785e75,6415,11033,100029,500846,44032,7575,,,,,13664,500846,9168,47603,Patrick Corbin,Patrick Corbin,Patrick Corbin,Patrick Corbin
10000008,,Minors,14,ARI,12,P,SP,523989,Rubby,De La Rosa,R,R,73,225,3/4/1989 12:00:00 AM,Santo Domingo,,Dominican Republic,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000008.png,72cfe853-2cdc-4e11-ba5d-ee6916b72d8b,6604,11771,100500,503952,106383,9013,,,,,13031,503952,8941,47603,Rubby de la Rosa,Rubby De La Rosa,Rubby De La Rosa,
10000009,,Active,14,ARI,48,P,RP,517414,Randall,Delgado,R,R,75,220,2/9/1990 12:00:00 AM,Las Tablas,,Panama,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000009.png,f860c341-7f56-4900-8574-98b3ffcf3f60,,10796,101084,455640,104441,7208,,,,,12920,455640,8847,47603,Randall Delgado,Randall Delgado,Randall Delgado,Randall Delgado
10000011,,Minors,3,TOR,64,P,SP,449173,Lucas,Harrell,S,R,74,205,6/3/1985 12:00:00 AM,Springfield,MO,USA,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000011.png,e2806637-018b-42a3-8d4e-c86ce4f8baff,5043,9613,101500,253560,43301,,,,,,12468,253560,8775,47604,Lucas Harrell,Lucas Harrell,Lucas Harrell,
10000012,,Active,12,PHI,58,P,SP,476451,Jeremy,Hellickson,R,R,73,203,4/8/1987 12:00:00 AM,Des Moines,IA,USA,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000012.png,09bb7528-d8a1-4d91-b28e-53a35ce3f678,4930,8842,100043,295725,107235,6265,,,,,10968,295725,8415,47606,Jeremy Hellickson,Jeremy Hellickson,Jeremy Hellickson,Jeremy Hellickson
10000013,,Minors,15,SF,30,P,RP,456696,David,Hernandez,R,R,74,215,5/13/1985 12:00:00 AM,Sacramento,CA,USA,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000013.png,ab6801a2-e5ce-4773-aed0-0cc0a0363871,5457,9656,100746,295160,43634,6149,,,,,5270,295160,8498,47608,David Hernandez,David HernÃ¡ndez,David HernÃ¡ndez,David Hernández
